text,intent,entities,label
do you have an american airlines flight from denver to san francisco in the early morning,flight,airline_name=american airlines;fromloc.city_name=denver;toloc.city_name=san francisco;depart_time.period_of_day=early;depart_time.period_of_day=morning,11
do you have a twa flight leaving early in the morning to san francisco from denver,flight,airline_code=twa;depart_time.period_mod=early;depart_time.period_of_day=morning;toloc.city_name=san francisco;fromloc.city_name=denver,11
show me the flights from atlanta to washington dc on wednesday night and thursday morning,flight,fromloc.city_name=atlanta;toloc.city_name=washington;toloc.state_code=dc;depart_date.day_name=wednesday;depart_time.period_of_day=night;depart_date.day_name=thursday;depart_time.period_of_day=morning,11
what types of aircraft can i get a first class ticket from philadelphia to dallas,aircraft,class_type=first class;fromloc.city_name=philadelphia;toloc.city_name=dallas,1
how many seats in a 100,capacity,aircraft_code=100,8
ground transportation in san jose,ground_service,city_name=san jose,17
what is the first flight arriving in montreal from toronto friday,flight,flight_mod=first;toloc.city_name=montreal;fromloc.city_name=toronto;arrive_date.day_name=friday,11
show me round trip fares between san francisco and washington dc,airfare,round_trip=round trip;fromloc.city_name=san francisco;toloc.city_name=washington;toloc.state_code=dc,3
i need a flight on thursday before 8 am from oakland to salt lake city,flight,depart_date.day_name=thursday;depart_time.time_relative=before;depart_time.time=8 am;fromloc.city_name=oakland;toloc.city_name=salt lake city,11
show me round trip fares from baltimore to philadelphia,airfare,round_trip=round trip;fromloc.city_name=baltimore;toloc.city_name=philadelphia,3
please show me the flights from boston to san francisco,flight,fromloc.city_name=boston;toloc.city_name=san francisco,11
can you show me evening flights from nashville to houston that serve dinner,flight,depart_time.period_of_day=evening;fromloc.city_name=nashville;toloc.city_name=houston;meal_description=dinner,11
list all flights from indianapolis to seattle,flight,fromloc.city_name=indianapolis;toloc.city_name=seattle,11
show me all flights from pittsburgh which leave tomorrow and arrive in boston,flight,fromloc.city_name=pittsburgh;depart_date.today_relative=tomorrow;toloc.city_name=boston,11
which airlines fly from boston to washington,airline,fromloc.city_name=boston;toloc.city_name=washington,5
flight information from san francisco to pittsburgh,flight,fromloc.city_name=san francisco;toloc.city_name=pittsburgh,11
which companies fly between boston and oakland,airline,fromloc.city_name=boston;toloc.city_name=oakland,5
when is the first flight in the morning from boston to denver,flight,flight_mod=first;depart_time.period_of_day=morning;fromloc.city_name=boston;toloc.city_name=denver,11
i 'd like to see the flights from pittsburgh to philadelphia,flight,fromloc.city_name=pittsburgh;toloc.city_name=philadelphia,11
i 'd like a flight from kansas city to los angeles that arrives in los angeles in the late afternoon,flight,fromloc.city_name=kansas city;toloc.city_name=los angeles;toloc.city_name=los angeles;arrive_time.period_of_day=late afternoon,11
list all flights arriving in pittsburgh monday evening from san francisco that first class,flight,toloc.city_name=pittsburgh;arrive_date.day_name=monday;arrive_time.period_of_day=evening;fromloc.city_name=san francisco;class_type=first class,11
show all flights from pittsburgh to oakland,flight,fromloc.city_name=pittsburgh;toloc.city_name=oakland,11
show me the united flights from denver to baltimore,flight,airline_name=united;fromloc.city_name=denver;toloc.city_name=baltimore,11
what is the first class fare on united flight 352 from denver to boston,airfare,class_type=first class;airline_name=united;flight_number=352;fromloc.city_name=denver;toloc.city_name=boston,3
san francisco to boston please with a stopover in denver,flight,fromloc.city_name=san francisco;toloc.city_name=boston;stoploc.city_name=denver,11
show me a list of flights from denver to san francisco for september first 1991,flight,fromloc.city_name=denver;toloc.city_name=san francisco;depart_date.month_name=september;depart_date.day_number=first;depart_date.year=1991,11
show me flights first class from san francisco to pittsburgh leaving on tuesday after 8 o'clock in the morning and before 12 noon,flight,class_type=first class;fromloc.city_name=san francisco;toloc.city_name=pittsburgh;depart_date.day_name=tuesday;depart_time.time_relative=after;depart_time.time=8 o'clock;depart_time.period_of_day=morning;depart_time.time_relative=before;depart_time.time=12 noon,11
i need a flight from pittsburgh to boston on wednesday the fourteenth,flight,fromloc.city_name=pittsburgh;toloc.city_name=boston;depart_date.day_name=wednesday;depart_date.day_number=fourteenth,11
ground transportation please in the city of boston between airport and downtown,ground_service,city_name=city of boston,17
show last flight from philadelphia to boston,flight,flight_mod=last;fromloc.city_name=philadelphia;toloc.city_name=boston,11
list all flights from long beach to columbus on sunday,flight,fromloc.city_name=long beach;toloc.city_name=columbus;depart_date.day_name=sunday,11
